year,model,carrier,tailnum,manufacturer,origin,sum(distance)
2013,737-924ER,UA,N28478,BOEING,EWR,3195
2013,737-924ER,UA,N28478,BOEING,EWR,719
2013,737-924ER,UA,N28478,BOEING,EWR,12270
2013,737-924ER,UA,N27477,BOEING,EWR,4260
2013,737-924ER,UA,N38467,BOEING,EWR,15400
2013,A321-231,US,N567UW,AIRBUS,EWR,9522
2013,737-924ER,UA,N39475,BOEING,EWR,2434
2013,737-924ER,UA,N38467,BOEING,EWR,14412
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,EWR,3400
2013,737-924ER,UA,N69804,BOEING,EWR,997
2013,737-924ER,UA,N36469,BOEING,EWR,17816
2013,737-924ER,UA,N36476,BOEING,EWR,1085
2013,737-924ER,UA,N37466,BOEING,EWR,11135
2013,737-924ER,UA,N37466,BOEING,EWR,3748
2013,737-924ER,UA,N37468,BOEING,EWR,7206
2013,737-924ER,UA,N69804,BOEING,EWR,7362
2013,737-924ER,UA,N37468,BOEING,EWR,4985
2013,737-924ER,UA,N37470,BOEING,EWR,3210
2013,737-924ER,UA,N36476,BOEING,EWR,4685
2013,737-924ER,UA,N38467,BOEING,EWR,12270
2013,737-924ER,UA,N27477,BOEING,EWR,30780
2013,A320-232,B6,N827JB,AIRBUS,EWR,2811
2013,737-924ER,UA,N37474,BOEING,EWR,23085
2013,737-924ER,UA,N27477,BOEING,EWR,2133
2013,737-924ER,UA,N37468,BOEING,EWR,9700
2013,737-924ER,UA,N69806,BOEING,EWR,5130
2013,737-924ER,UA,N36476,BOEING,EWR,3216
2013,737-924ER,UA,N68805,BOEING,EWR,997
2013,737-924ER,UA,N39475,BOEING,EWR,1504
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,EWR,4800
2013,737-924ER,UA,N69804,BOEING,EWR,1438
2013,737-924ER,UA,N69806,BOEING,EWR,1068
2013,737-924ER,UA,N28478,BOEING,EWR,6432
2013,737-924ER,UA,N66803,BOEING,EWR,2130
2013,737-924ER,UA,N66808,BOEING,EWR,1400
2013,CL-600-2D24,9E,N293PQ,"BOMBARDIER INC",EWR,488
2013,737-924ER,UA,N38473,BOEING,EWR,3008
2013,737-924ER,UA,N38473,BOEING,EWR,2133
2013,737-924ER,UA,N37470,BOEING,EWR,808
2013,737-924ER,UA,N36469,BOEING,EWR,12125
2013,CL-600-2D24,9E,N295PQ,"BOMBARDIER INC",EWR,976
2013,737-924ER,UA,N37471,BOEING,EWR,20043
2013,737-924ER,UA,N66808,BOEING,EWR,12825
2013,737-924ER,UA,N37465,BOEING,EWR,1504
2013,737-924ER,UA,N39475,BOEING,EWR,6420
2013,737-924ER,UA,N66808,BOEING,EWR,4908
2013,737-924ER,UA,N28478,BOEING,EWR,200
2013,A321-211,US,N157UW,AIRBUS,EWR,6877
2013,A321-211,US,N199UW,AIRBUS,EWR,14812
2013,737-924ER,UA,N36472,BOEING,EWR,9585
2013,737-924ER,UA,N36472,BOEING,EWR,14724
2013,737-924ER,UA,N66808,BOEING,EWR,2130
2013,737-924ER,UA,N39475,BOEING,EWR,20520
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,EWR,937
2013,A321-211,US,N151UW,AIRBUS,EWR,10051
2013,737-924ER,UA,N38473,BOEING,EWR,2046
2013,737-924ER,UA,N39475,BOEING,EWR,2133
2013,737-924ER,UA,N28478,BOEING,EWR,2170
2013,737-924ER,UA,N37466,BOEING,EWR,1212
2013,737-990ER,AS,N435AS,BOEING,EWR,9608
2013,737-924ER,UA,N37468,BOEING,EWR,8908
2013,737-924ER,UA,N64809,BOEING,EWR,1400
2013,737-924ER,UA,N36476,BOEING,EWR,4266
2013,737-924ER,UA,N37471,BOEING,EWR,1372
2013,737-924ER,UA,N36469,BOEING,EWR,2434
2013,737-924ER,UA,N36476,BOEING,EWR,1400
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,EWR,2130
2013,737-924ER,UA,N37470,BOEING,EWR,2425
2013,737-924ER,UA,N37468,BOEING,EWR,3008
2013,737-924ER,UA,N38473,BOEING,EWR,5600
2013,737-924ER,UA,N37466,BOEING,EWR,12010
2013,737-924ER,UA,N68805,BOEING,EWR,3210
2013,737-924ER,UA,N37465,BOEING,EWR,14472
2013,737-924ER,UA,N37471,BOEING,EWR,4092
2013,737-924ER,UA,N39475,BOEING,EWR,2136
2013,737-924ER,UA,N37474,BOEING,EWR,4815
2013,737-924ER,UA,N37471,BOEING,EWR,1994
2013,737-924ER,UA,N37465,BOEING,EWR,7496
2013,737-924ER,UA,N28478,BOEING,EWR,10260
2013,A320-232,B6,N827JB,AIRBUS,EWR,1065
2013,737-990ER,AS,N409AS,BOEING,EWR,93678
2013,737-924ER,UA,N37468,BOEING,EWR,4266
2013,A320-232,B6,N828JB,AIRBUS,EWR,1068
2013,737-924ER,UA,N37466,BOEING,EWR,5325
2013,737-924ER,UA,N68801,BOEING,EWR,997
2013,737-924ER,UA,N36472,BOEING,EWR,12125
2013,737-924ER,UA,N68807,BOEING,EWR,2565
2013,"ERJ 190-100 IGW",B6,N358JB,EMBRAER,EWR,4600
2013,737-924ER,UA,N38473,BOEING,EWR,12864
2013,737-924ER,UA,N28478,BOEING,EWR,3210
2013,737-924ER,UA,N38467,BOEING,EWR,2434
2013,737-924ER,UA,N37474,BOEING,EWR,7496
2013,737-924ER,UA,N28478,BOEING,EWR,14412
2013,737-924ER,UA,N38467,BOEING,EWR,6471
2013,737-924ER,UA,N38467,BOEING,EWR,3069
2013,737-990ER,AS,N413AS,BOEING,EWR,67256
2013,737-924ER,UA,N27477,BOEING,EWR,5600
2013,737-924ER,UA,N37466,BOEING,EWR,22086
2013,737-924ER,UA,N68805,BOEING,EWR,2046
2013,"ERJ 190-100 IGW",B6,N358JB,EMBRAER,EWR,1023
2013,737-924ER,UA,N37474,BOEING,EWR,3204
2013,737-924ER,UA,N37466,BOEING,EWR,1585
2013,CL-600-2D24,9E,N297PQ,"BOMBARDIER INC",EWR,488
2013,737-924ER,UA,N36476,BOEING,EWR,2402
2013,737-924ER,UA,N27477,BOEING,EWR,400
2013,A320-232,B6,N828JB,AIRBUS,EWR,1023
2013,737-924ER,UA,N38473,BOEING,EWR,1874
2013,737-924ER,UA,N37468,BOEING,EWR,5340
2013,737-924ER,UA,N27477,BOEING,EWR,2136
2013,737-924ER,UA,N69806,BOEING,EWR,4908
2013,CL-600-2D24,9E,N296PQ,"BOMBARDIER INC",EWR,3024
2013,737-924ER,UA,N68802,BOEING,EWR,2133
2013,737-924ER,UA,N37465,BOEING,EWR,8908
2013,737-924ER,UA,N36472,BOEING,EWR,4266
2013,737-924ER,UA,N69806,BOEING,EWR,11200
2013,737-924ER,UA,N39475,BOEING,EWR,2170
2013,CL-600-2D24,9E,N292PQ,"BOMBARDIER INC",EWR,1952
2013,737-924ER,UA,N39475,BOEING,EWR,1023
2013,737-924ER,UA,N28478,BOEING,EWR,2133
2013,737-924ER,UA,N36476,BOEING,EWR,4272
2013,737-924ER,UA,N68805,BOEING,EWR,1068
2013,737-924ER,UA,N37471,BOEING,EWR,12864
2013,737-924ER,UA,N37466,BOEING,EWR,4850
2013,737-924ER,UA,N37468,BOEING,EWR,4314
2013,A320-214,VX,N361VA,AIRBUS,EWR,19632
2013,737-924ER,UA,N27477,BOEING,EWR,1608
2013,737-924ER,UA,N37471,BOEING,EWR,53865
2013,737-924ER,UA,N66808,BOEING,EWR,4266
2013,737-924ER,UA,N36472,BOEING,EWR,404
2013,737-924ER,UA,N27477,BOEING,EWR,808
2013,737-924ER,UA,N38467,BOEING,EWR,9648
2013,737-924ER,UA,N69804,BOEING,EWR,2565
2013,A321-211,US,N154UW,AIRBUS,EWR,8464
2013,737-924ER,UA,N68805,BOEING,EWR,719
2013,737-924ER,UA,N37474,BOEING,EWR,4804
2013,737-924ER,UA,N37466,BOEING,EWR,4266
2013,737-924ER,UA,N37465,BOEING,EWR,5340
2013,737-924ER,UA,N36469,BOEING,EWR,2170
2013,737-924ER,UA,N36469,BOEING,EWR,2811
2013,737-924ER,UA,N38467,BOEING,EWR,600
2013,737-924ER,UA,N38467,BOEING,EWR,11135
2013,737-924ER,UA,N36469,BOEING,EWR,2130
2013,737-924ER,UA,N36476,BOEING,EWR,30780
2013,737-924ER,UA,N38467,BOEING,EWR,2136
2013,737-924ER,UA,N36469,BOEING,EWR,2876
2013,737-924ER,UA,N37465,BOEING,EWR,24540
2013,737-924ER,UA,N37470,BOEING,EWR,3255
2013,737-924ER,UA,N38467,BOEING,EWR,5425
2013,CL-600-2D24,9E,N272PQ,"BOMBARDIER INC",EWR,1008
2013,737-924ER,UA,N37474,BOEING,EWR,2434
2013,737-924ER,UA,N37466,BOEING,EWR,3069
2013,737-924ER,UA,N39475,BOEING,EWR,5600
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,EWR,8600
2013,737-924ER,UA,N36472,BOEING,EWR,12010
2013,737-924ER,UA,N37474,BOEING,EWR,1000
2013,737-990ER,AS,N440AS,BOEING,EWR,19216
2013,737-924ER,UA,N68807,BOEING,EWR,2227
2013,737-924ER,UA,N28478,BOEING,EWR,1994
2013,A321-231,US,N568UW,AIRBUS,EWR,2645
2013,737-924ER,UA,N36472,BOEING,EWR,600
2013,737-924ER,UA,N69806,BOEING,EWR,719
2013,737-924ER,UA,N39475,BOEING,EWR,17178
2013,737-924ER,UA,N37468,BOEING,EWR,9816
2013,737-924ER,UA,N37465,BOEING,EWR,12840
2013,737-924ER,UA,N27477,BOEING,EWR,2454
2013,737-924ER,UA,N37468,BOEING,EWR,6420
2013,737-8H4,WN,N8615E,BOEING,EWR,1411
2013,737-924ER,UA,N68807,BOEING,EWR,4908
2013,737-924ER,UA,N39475,BOEING,EWR,1874
2013,737-924ER,UA,N36469,BOEING,EWR,12010
2013,737-924ER,UA,N38473,BOEING,EWR,14412
2013,737-924ER,UA,N37468,BOEING,EWR,1212
2013,737-924ER,UA,N37474,BOEING,EWR,7000
2013,737-924ER,UA,N37474,BOEING,EWR,7275
2013,CL-600-2D24,9E,N297PQ,"BOMBARDIER INC",EWR,1008
2013,737-924ER,UA,N39475,BOEING,EWR,9700
2013,737-924ER,UA,N37470,BOEING,EWR,5600
2013,737-924ER,UA,N37470,BOEING,EWR,7455
2013,737-924ER,UA,N37471,BOEING,EWR,2170
2013,737-924ER,UA,N37471,BOEING,EWR,19472
2013,737-924ER,UA,N37474,BOEING,EWR,2046
2013,737-924ER,UA,N68805,BOEING,EWR,2170
2013,737-924ER,UA,N28478,BOEING,EWR,3748
2013,737-924ER,UA,N66808,BOEING,EWR,1167
2013,737-924ER,UA,N37470,BOEING,EWR,14412
2013,737-924ER,UA,N27477,BOEING,EWR,9630
2013,737-924ER,UA,N68801,BOEING,EWR,1068
2013,737-924ER,UA,N36469,BOEING,EWR,36810
2013,737-924ER,UA,N37471,BOEING,EWR,3195
2013,CL-600-2D24,9E,N296PQ,"BOMBARDIER INC",EWR,488
2013,737-924ER,UA,N37468,BOEING,EWR,3069
2013,737-924ER,UA,N28478,BOEING,EWR,7275
2013,A320-214,VX,N361VA,AIRBUS,EWR,23085
2013,737-924ER,UA,N68801,BOEING,EWR,1065
2013,737-924ER,UA,N38473,BOEING,EWR,33345
2013,737-924ER,UA,N37465,BOEING,EWR,808
2013,737-990ER,AS,N433AS,BOEING,EWR,16814
2013,737-924ER,UA,N37470,BOEING,EWR,3216
2013,737-924ER,UA,N66803,BOEING,EWR,12825
2013,737-924ER,UA,N37474,BOEING,EWR,997
2013,737-924ER,UA,N37471,BOEING,EWR,808
2013,737-924ER,UA,N36476,BOEING,EWR,808
2013,737-924ER,UA,N39475,BOEING,EWR,12864
2013,A320-232,B6,N834JB,AIRBUS,EWR,1608
2013,737-924ER,UA,N37470,BOEING,EWR,4985
2013,737-924ER,UA,N37474,BOEING,EWR,3595
2013,737-924ER,UA,N36472,BOEING,EWR,3069
2013,737-924ER,UA,N37470,BOEING,EWR,14724
2013,737-924ER,UA,N38473,BOEING,EWR,200
2013,737-924ER,UA,N37474,BOEING,EWR,746
2013,737-924ER,UA,N38467,BOEING,EWR,2811
2013,737-924ER,UA,N28478,BOEING,EWR,2434
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,EWR,2130
2013,737-924ER,UA,N36476,BOEING,EWR,3195
2013,737-924ER,UA,N36476,BOEING,EWR,4092
2013,737-924ER,UA,N36472,BOEING,EWR,38475
2013,737-924ER,UA,N36472,BOEING,EWR,1068
2013,737-924ER,UA,N37468,BOEING,EWR,16080
2013,737-924ER,UA,N37465,BOEING,EWR,2046
2013,737-990ER,AS,N419AS,BOEING,EWR,76864
2013,737-924ER,UA,N36476,BOEING,EWR,600
2013,A321-211,US,N152UW,AIRBUS,EWR,6877
2013,737-924ER,UA,N37466,BOEING,EWR,1800
2013,737-924ER,UA,N37474,BOEING,EWR,15589
2013,"ERJ 190-100 IGW",B6,N375JB,EMBRAER,EWR,200
2013,A321-211,US,N156UW,AIRBUS,EWR,9522
2013,737-924ER,UA,N68801,BOEING,EWR,4908
2013,737-924ER,UA,N36469,BOEING,EWR,2020
2013,737-924ER,UA,N36469,BOEING,EWR,2133
2013,737-924ER,UA,N37470,BOEING,EWR,17816
2013,737-924ER,UA,N37468,BOEING,EWR,9800
2013,A321-211,US,N198UW,AIRBUS,EWR,23276
2013,737-924ER,UA,N37471,BOEING,EWR,2800
2013,737-924ER,UA,N69804,BOEING,EWR,6681
2013,737-924ER,UA,N37466,BOEING,EWR,2991
2013,737-924ER,UA,N39475,BOEING,EWR,404
2013,A320-232,B6,N828JB,AIRBUS,EWR,1874
2013,737-924ER,UA,N69806,BOEING,EWR,2434
2013,737-924ER,UA,N37466,BOEING,EWR,3255
2013,737-924ER,UA,N37468,BOEING,EWR,7302
2013,737-924ER,UA,N28478,BOEING,EWR,808
2013,737-924ER,UA,N68802,BOEING,EWR,10260
2013,737-924ER,UA,N37470,BOEING,EWR,5340
2013,737-924ER,UA,N64809,BOEING,EWR,1085
2013,737-924ER,UA,N28478,BOEING,EWR,2800
2013,CL-600-2D24,9E,N292PQ,"BOMBARDIER INC",EWR,3024
2013,737-924ER,UA,N37466,BOEING,EWR,4272
2013,CL-600-2D24,9E,N298PQ,"BOMBARDIER INC",EWR,488
2013,CL-600-2D24,9E,N279PQ,"BOMBARDIER INC",EWR,1008
2013,737-924ER,UA,N38473,BOEING,EWR,1085
2013,737-924ER,UA,N27477,BOEING,EWR,4804
2013,CL-600-2D24,9E,N298PQ,"BOMBARDIER INC",EWR,1008
2013,737-924ER,UA,N66803,BOEING,EWR,997
2013,737-924ER,UA,N27477,BOEING,EWR,719
2013,737-924ER,UA,N37466,BOEING,EWR,4314
2013,737-924ER,UA,N37470,BOEING,EWR,3069
2013,737-924ER,UA,N38467,BOEING,EWR,997
2013,CL-600-2D24,9E,N294PQ,"BOMBARDIER INC",EWR,2016
2013,737-924ER,UA,N37465,BOEING,EWR,6399
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,EWR,1023
2013,737-990ER,AS,N431AS,BOEING,EWR,19216
2013,737-924ER,UA,N36472,BOEING,EWR,5982
2013,737-924ER,UA,N36472,BOEING,EWR,11135
2013,737-924ER,UA,N37471,BOEING,EWR,2425
2013,A321-231,US,N569UW,AIRBUS,EWR,4761
2013,737-924ER,UA,N37470,BOEING,EWR,800
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,EWR,5600
2013,737-924ER,UA,N36476,BOEING,EWR,1605
2013,CL-600-2D24,9E,N279PQ,"BOMBARDIER INC",EWR,1464
2013,737-924ER,UA,N36472,BOEING,EWR,1504
2013,737-924ER,UA,N38473,BOEING,EWR,14724
2013,737-924ER,UA,N66808,BOEING,EWR,937
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,JFK,2299
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,JFK,2148
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,JFK,3432
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,JFK,5088
2013,A321-231,US,N570UW,AIRBUS,JFK,541
2013,CL-600-2D24,9E,N279PQ,"BOMBARDIER INC",JFK,1530
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,JFK,4224
2013,"ERJ 190-100 IGW",B6,N375JB,EMBRAER,JFK,2148
2013,A321-231,US,N572UW,"AIRBUS INDUSTRIE",JFK,4306
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,JFK,3816
2013,A320-232,B6,N828JB,AIRBUS,JFK,2832
2013,CL-600-2D24,9E,N293PQ,"BOMBARDIER INC",JFK,7400
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,19044
2013,A321-231,US,N571UW,AIRBUS,JFK,21530
2013,A320-232,B6,N827JB,AIRBUS,JFK,6504
2013,CL-600-2D24,9E,N297PQ,"BOMBARDIER INC",JFK,561
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,173
2013,A320-232,B6,N828JB,AIRBUS,JFK,7266
2013,A320-232,B6,N834JB,AIRBUS,JFK,2148
2013,CL-600-2D24,9E,N296PQ,"BOMBARDIER INC",JFK,1182
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,JFK,3843
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,1598
2013,A320-232,B6,N827JB,AIRBUS,JFK,9456
2013,CL-600-2D24,9E,N293PQ,"BOMBARDIER INC",JFK,1330
2013,"ERJ 190-100 IGW",B6,N375JB,EMBRAER,JFK,4728
2013,"ERJ 190-100 IGW",B6,N375JB,EMBRAER,JFK,2709
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,JFK,1368
2013,A320-232,B6,N827JB,AIRBUS,JFK,9588
2013,CL-600-2D24,9E,N294PQ,"BOMBARDIER INC",JFK,3087
2013,CL-600-2D24,9E,N298PQ,"BOMBARDIER INC",JFK,301
2013,A320-232,B6,N827JB,AIRBUS,JFK,828
2013,CL-600-2D24,9E,N292PQ,"BOMBARDIER INC",JFK,1182
2013,CL-600-2D24,9E,N299PQ,"BOMBARDIER INC",JFK,340
2013,A320-232,B6,N834JB,AIRBUS,JFK,561
2013,A320-232,B6,N834JB,AIRBUS,JFK,2056
2013,A320-232,B6,N827JB,AIRBUS,JFK,374
2013,"ERJ 190-100 IGW",B6,N375JB,EMBRAER,JFK,8568
2013,A330-243,HA,N391HA,AIRBUS,JFK,104643
2013,CL-600-2D24,9E,N296PQ,"BOMBARDIER INC",JFK,854
2013,CL-600-2D24,9E,N293PQ,"BOMBARDIER INC",JFK,1020
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,JFK,5423
2013,A320-232,B6,N834JB,AIRBUS,JFK,1990
2013,"ERJ 190-100 IGW",B6,N358JB,EMBRAER,JFK,5423
2013,CL-600-2D24,9E,N298PQ,"BOMBARDIER INC",JFK,589
2013,"ERJ 190-100 IGW",B6,N358JB,EMBRAER,JFK,2989
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,JFK,2299
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,JFK,12040
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,1592
2013,CL-600-2D24,9E,N272PQ,"BOMBARDIER INC",JFK,561
2013,"ERJ 190-100 IGW",B6,N374JB,EMBRAER,JFK,944
2013,A320-232,B6,N828JB,AIRBUS,JFK,1074
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,JFK,2010
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,JFK,12852
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,2280
2013,CL-600-2D24,9E,N272PQ,"BOMBARDIER INC",JFK,340
2013,A320-232,B6,N828JB,AIRBUS,JFK,22275
2013,A321-231,US,N568UW,AIRBUS,JFK,3787
2013,A320-232,B6,N834JB,AIRBUS,JFK,1041
2013,"ERJ 190-100 IGW",B6,N355JB,EMBRAER,JFK,4488
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,6118
2013,CL-600-2D24,9E,N294PQ,"BOMBARDIER INC",JFK,2226
2013,CL-600-2D24,9E,N295PQ,"BOMBARDIER INC",JFK,374
2013,A320-232,B6,N828JB,AIRBUS,JFK,1576
2013,A321-231,US,N571UW,AIRBUS,JFK,1082
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,JFK,23640
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,JFK,1028
2013,A320-214,VX,N361VA,AIRBUS,JFK,22480
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,JFK,1596
2013,CL-600-2D24,9E,N294PQ,"BOMBARDIER INC",JFK,1480
2013,CL-600-2D24,9E,N279PQ,"BOMBARDIER INC",JFK,589
2013,"ERJ 190-100 IGW",B6,N368JB,EMBRAER,JFK,3553
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,JFK,8280
